savivaldybe,rodiklis,metai,metai_menesis,menesis,nedarbas,vid_nedarbas
Jurbarko r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,9.20,
Jurbarko r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,8.60,
Jurbarko r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,8.10,
Jurbarko r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,8.70,
Jurbarko r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,9.00,
Kaišiadorių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,7.90,7.88
Kaišiadorių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,8.00,
Kaišiadorių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,8.10,
Kaišiadorių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,7.30,
Kaišiadorių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,7.60,
Kaišiadorių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,7.90,
Kaišiadorių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,8.00,
Kaišiadorių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,8.20,
Kaišiadorių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,8.00,
Kaišiadorių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,7.60,
Kaišiadorių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,7.80,
Kaišiadorių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,8.10,
Kalvarijos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,13.80,12.49
Kalvarijos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,13.90,
Kalvarijos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,14.50,
Kalvarijos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,12.90,
Kalvarijos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,12.40,
Kalvarijos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,12.90,
Kalvarijos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,12.50,
Kalvarijos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,12.80,
Kalvarijos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,11.50,
Kalvarijos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,10.50,
Kalvarijos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,11.20,
Kalvarijos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,11.00,
Kauno m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,9.70,9.69
Kauno m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,9.60,
Kauno m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,9.80,
Kauno m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,9.30,
Kauno m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,9.10,
Kauno m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,9.60,
Kauno m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,10.00,
Kauno m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,10.20,
Kauno m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,9.90,
Kauno m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,9.60,
Kauno m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,9.70,
Kauno m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,9.80,
Kauno r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,9.50,8.71
Kauno r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,9.40,
Kauno r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,9.40,
Kauno r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,8.80,
Kauno r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,8.10,
Kauno r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,8.50,
Kauno r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,8.60,
Kauno r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,8.70,
Kauno r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,8.40,
Kauno r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,8.20,
Kauno r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,8.40,
Kauno r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,8.50,
Kazlų Rūdos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,11.50,10.87
Kazlų Rūdos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,11.30,
Kazlų Rūdos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,11.50,
Kazlų Rūdos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,10.70,
Kazlų Rūdos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,10.40,
Kazlų Rūdos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,10.50,
Kazlų Rūdos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,10.70,
Kazlų Rūdos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,11.10,
Kazlų Rūdos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,11.00,
Kazlų Rūdos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,10.20,
Kazlų Rūdos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,10.80,
Kazlų Rūdos sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,10.70,
Kėdainių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,10.40,9.03
Kėdainių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,10.40,
Kėdainių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,10.20,
Kėdainių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,9.30,
